redirect_type,old_path,new_slug,redirect_target,redirect_rule,notes,old_url
EXACT,user-guide/integrations/coap,user-guide/integrations/coap,/docs/user-guide/integrations/coap/,,Path unchanged,https://thingsboard.io/docs/user-guide/integrations/coap/
EXACT,user-guide/integrations/http,user-guide/integrations/http,/docs/user-guide/integrations/http/,,Path unchanged,https://thingsboard.io/docs/user-guide/integrations/http/
EXACT,user-guide/integrations/kafka,user-guide/integrations/kafka,/docs/user-guide/integrations/kafka/,,Path unchanged,https://thingsboard.io/docs/user-guide/integrations/kafka/
EXACT,user-guide/integrations/mqtt,user-guide/integrations/mqtt,/docs/user-guide/integrations/mqtt/,,Path unchanged,https://thingsboard.io/docs/user-guide/integrations/mqtt/
EXACT,user-guide/integrations/opc-ua,user-guide/integrations/opc-ua,/docs/user-guide/integrations/opc-ua/,,Path unchanged,https://thingsboard.io/docs/user-guide/integrations/opc-ua/
EXACT,user-guide/integrations/thingpark,user-guide/integrations/thingpark,/docs/user-guide/integrations/thingpark/,,Path unchanged,https://thingsboard.io/docs/user-guide/integrations/thingpark/
EXACT,user-guide/integrations/tti,user-guide/integrations/tti,/docs/user-guide/integrations/tti/,,Path unchanged,https://thingsboard.io/docs/user-guide/integrations/tti/
EXACT,user-guide/integrations/ttn,user-guide/integrations/ttn,/docs/user-guide/integrations/ttn/,,Path unchanged,https://thingsboard.io/docs/user-guide/integrations/ttn/
EXACT,user-guide/notifications,user-guide/notifications,/docs/user-guide/notifications/,,Path unchanged,https://thingsboard.io/docs/user-guide/notifications/
EXACT,user-guide/ota-updates,user-guide/ota-updates,/docs/user-guide/ota-updates/,,Path unchanged,https://thingsboard.io/docs/user-guide/ota-updates/
EXACT,user-guide/rule-engine,user-guide/rule-engine,/docs/user-guide/rule-engine/,,Path unchanged,https://thingsboard.io/docs/user-guide/rule-engine/
EXACT,user-guide/scada,user-guide/scada,/docs/user-guide/scada/,,Path unchanged,https://thingsboard.io/docs/user-guide/scada/
EXACT,user-guide/scheduler,user-guide/scheduler,/docs/user-guide/scheduler/,,Path unchanged,https://thingsboard.io/docs/user-guide/scheduler/
EXACT,user-guide/security/api-keys,user-guide/security/api-keys,/docs/user-guide/security/api-keys/,,Path unchanged,https://thingsboard.io/docs/user-guide/security/api-keys/
EXACT,user-guide/tbel,user-guide/tbel,/docs/user-guide/tbel/,,Path unchanged,https://thingsboard.io/docs/user-guide/tbel/
EXACT,user-guide/ui/mail-settings,user-guide/ui/mail-settings,/docs/user-guide/ui/mail-settings/,,Path unchanged,https://thingsboard.io/docs/user-guide/ui/mail-settings/
EXACT,user-guide/ui/microsoft-teams-settings,user-guide/ui/microsoft-teams-settings,/docs/user-guide/ui/microsoft-teams-settings/,,Path unchanged,https://thingsboard.io/docs/user-guide/ui/microsoft-teams-settings/
EXACT,user-guide/ui/slack-settings,user-guide/ui/slack-settings,/docs/user-guide/ui/slack-settings/,,Path unchanged,https://thingsboard.io/docs/user-guide/ui/slack-settings/
EXACT,user-guide/ui/sms-provider-settings,user-guide/ui/sms-provider-settings,/docs/user-guide/ui/sms-provider-settings/,,Path unchanged,https://thingsboard.io/docs/user-guide/ui/sms-provider-settings/
EXACT,user-guide/version-control,user-guide/version-control,/docs/user-guide/version-control/,,Path unchanged,https://thingsboard.io/docs/user-guide/version-control/
EXACT,user-guide/widgets,user-guide/widgets,/docs/user-guide/widgets/,,Path unchanged,https://thingsboard.io/docs/user-guide/widgets/
RENAMED,api,reference/rest-api,/docs/reference/rest-api/,/docs/api/ /docs/reference/rest-api/ 301,,https://thingsboard.io/docs/api/
RENAMED,domains,user-guide/security/domains,/docs/user-guide/security/domains/,/docs/domains/ /docs/user-guide/security/domains/ 301,,https://thingsboard.io/docs/domains/
RENAMED,edge/config/provision-customer,edge/user-guide/provision-customer,/docs/edge/user-guide/provision-customer/,/docs/edge/config/provision-customer/ /docs/edge/user-guide/provision-customer/ 301,,https://thingsboard.io/docs/edge/config/provision-customer/
RENAMED,edge/config/provision-dashboard,edge/user-guide/provision-dashboard,/docs/edge/user-guide/provision-dashboard/,/docs/edge/config/provision-dashboard/ /docs/edge/user-guide/provision-dashboard/ 301,,https://thingsboard.io/docs/edge/config/provision-dashboard/
